theme,content,description
科学,1グラムの鉄には膨大なエネルギーがある,アインシュタインの式E=mc2によれば、物質は莫大なエネルギーの塊です。
科学,世界で一番硬い物質はウルツァイト窒化ホウ素,ダイヤモンドを凌ぐ硬さを持つとされる、理論上の物質です。
科学,ヘリウムを吸うと声が高くなる,ヘリウムは空気より密度が低いため、声帯の振動数が変わるためです。
科学,金は非常に薄く伸ばすことができる,展性が高く、1gあれば畳2畳分、あるいは3kmの糸にまで伸ばせます。
科学,ガソリンの匂いは麻薬に近い成分,ベンゼンという成分が含まれており、脳に快感を与えることがあります。
科学,空気の80%は窒素である,正確には約78%が窒素、21%が酸素、残りがアルゴンなどです。
科学,ゴムは冷やすと伸びやすくなる,エントロピー弾性という性質により、温度が低いと縮む力が弱まるためです。
歴史,ピラミッドは重機なしで建てられた,数万人を動員し、傾斜路やテコを駆使して作られた巨大建築です。
歴史,忍者は走る時に手を振らない,刀や道具が音を立てないよう、体幹を固定して走る「ナンバ走り」です。
歴史,昔、胡椒は金と同じ価値があった,冷蔵庫のない時代、肉の保存や味付けに不可欠で極めて高価でした。
歴史,江戸時代は世界最高水準のリサイクル社会,紙、古着、灰まで回収業者がおり、徹底的に再利用していました。
歴史,織田信長は実は甘党だった,宣教師から贈られた金平糖や干し柿を好んで食べた記録があります。
歴史,真田幸村の本名は「信繁」である,「幸村」は後世の軍記物で広まった名前で、当時の史料では信繁です。
歴史,ナポレオンの身長は実は平均的だった,当時のフランス人の平均より少し高かったですが、単位の誤解で低く伝わりました。
歴史,日本最古の貨幣は富本銭といわれる,和同開珎よりもさらに古い、7世紀後半の貨幣遺跡が見つかっています。
歴史,徳川家康は健康オタクだった,自ら薬を調合し、麦飯を食べるなど食生活にも細心の注意を払いました。
歴史,聖徳太子は一度に10人の話を聞けた,非常に優秀で、多くの訴えを同時に理解し的確に返答した伝説です。
歴史,クレオパトラは実はギリシャ系,エジプトの女王ですが、血統的にはマケドニア系ギリシャ人です。
歴史,最初のマウスは木で作られていた,1963年にダグラス・エンゲルバートが開発した試作機は木製でした。
歴史,コロンブスは死ぬまでアメリカをインドだとした,新大陸を発見したとは認識せず、アジアの一部だと信じていました。
歴史,昔のテニスラケットは手だった,11世紀頃の原型は「手のひら」でボールを打ち合う遊戯でした。
歴史,世界初の切手はイギリスで誕生した,1840年に発行された「ペニー・ブラック」が世界最初の切手です。
歴史,日本初のハンバーガー店はドムドム,マクドナルドより早い1970年、町田市に一号店がオープンしました。
歴史,源頼朝は非常に慎重な性格だった,疑り深く、自身の権力を守るために親族さえも粛清する冷徹さがありました。
歴史,武士の食事は意外と質素だった,玄米と味噌汁、漬物が基本の「一汁一菜」が多く、健康的でした。
歴史,明治時代になるまで名字がなかった,一般庶民が公に苗字を名乗ることは、明治になるまで許されませんでした。
歴史,かつて貝はお金の代わりに使われた,「財」「貨」「買」など、お金に関係する漢字に「貝」が含まれる理由です。
生活,五円玉の穴は材料を節約するため,戦後のインフレと物資不足の際、コスト削減のために穴が開けられました。
生活,トランプの合計を足すと365になる,ジョーカー以外の数字を足すと364、ジョーカーを1とすると365になります。
生活,消しゴムができる前はパンを使っていた,パンの白い部分を丸めて、木炭デッサンの修正などに使っていました。
生活,切手の裏の糊はデンプンでできている,デンプンやポリビニルアルコールなど、舐めても害のない成分です。
生活,鏡は左右ではなく前後を反転させている,光の反射により、奥行き方向（前後）が逆になっている光学現象です。
生活,1円玉を作るのに2円以上かかる,原材料のアルミニウム価格や製造コストが高騰し、額面以上かかっています。
生活,鉛筆1本で56kmの線が書ける,芯がなくなるまで書き続けると、約50km〜56kmの距離が書けます。
生活,マヨネーズは腐らない食べ物の一つ,お酢の殺菌力と塩分により、細菌が繁殖しにくい保存食です。
生活,コーヒーの飲み過ぎは昔死刑対象だった,18世紀のスウェーデンで一時禁止され、飲むと罰せられました。
生活,かき氷のシロップは香料が違うだけ,実はベースの味は同じで、色と香りだけで脳が違う味と錯覚しています。
生活,信号の青はもともと緑色だった,本来は緑色ですが、日本独自の色彩感覚により「青信号」と呼ばれます。
生活,サウナの発祥はフィンランド,2000年以上前から生活の一部として定着している健康法です。
生活,ジャンケンの最初はグーは志村けんから,テレビ番組『8時だョ!全員集合』のコントから全国に広まりました。
生活,ガムを飲み込んでも溶けて排出される,消化されませんが、胃や腸を通過して数日で自然に排出されます。
生活,トイレットペーパーに裏表はない,メーカーによりますが、一般的にエンボス加工がある方が表です。
生活,ハチミツは数千年前のものでも食べられる,糖度が高く水分が極めて少ないため、細菌が繁殖せず腐りません。
生活,うがい薬の色はヨウ素の色,ヨウ素が持つ特有の褐色がそのまま薬の色になっています。
生活,コンビニの入り口が二重なのは虫除け,「風除室」によって店内の温度を保ち、虫や風の侵入を防ぎます。
生活,ホッチキスの針は古紙回収で外さなくて良い,製紙工場の破砕工程で、金属の針は簡単に除去できるためです。
生活,割り箸はもともと使い捨てではなかった,昔は高価な杉で作られ、洗って何度も大切に使われていました。
動物,シマウマの地肌は実は黒色,毛を剃ると真っ黒な肌が現れます。縞模様は毛の色です。
動物,タラバガニは生物学上ヤドカリの仲間,ハサミ脚を含めて足が8本しか見えず、ヤドカリに近い種族です。
動物,サメの歯は何回でも生え変わる,後ろに予備の歯が控えており、抜けるとすぐに新しい歯が出てきます。
動物,コウモリは哺乳類で唯一空を飛べる,ムササビ等は滑空ですが、コウモリは翼を羽ばたかせて飛行できます。
動物,カンガルーの赤ちゃんは1円玉サイズ,未熟な状態で生まれ、母親の育児嚢（袋）に移動して成長します。
動物,ラクダのコブの中身は水ではなく脂肪,砂漠でのエネルギー源として脂肪を蓄えており、水ではありません。
動物,キリンは一日に20分しか眠らない,野生では襲われないよう、立ったまま数分の短時間睡眠を繰り返します。
動物,アヒルの鳴き声はエコーしない,という伝説がありましたが、実験の結果、実際には反響することが判明しました。
動物,ミミズには心臓が5つある,体節ごとに血液を送るためのポンプ（擬心臓）を複数持っています。
宇宙,月には風がないので足跡が消えない,大気がないため風化が起きず、アポロ宇宙飛行士の足跡が残り続けます。
宇宙,宇宙空間では金属同士が勝手にくっつく,「冷間溶接」という現象で、真空中で酸化膜がない金属同士が融合します。
宇宙,太陽の重力は地球の約28倍,もし太陽の表面に行けたとしたら、体重60kgの人は1.6トンを超えます。
宇宙,火星にはかつて巨大な湖があった,探査機により水の流れた跡や鉱物が発見され、生命の可能性が示唆されています。
宇宙,宇宙の温度はマイナス270度,絶対零度（マイナス273.15度）に近い、極寒の世界が一様に広がっています。
宇宙,太陽系最大の惑星は木星,地球が1300個以上入るほどの体積を持つ、巨大なガス惑星です。
宇宙,土星の輪はほとんどが氷の粒,数センチから数メートルの氷の破片が、無数に土星の周りを回っています。
宇宙,宇宙から見ると地球は青く輝いている,地表の約7割を覆う海が太陽光を反射し、大気が青く散乱させるためです。
宇宙,天王星は苺のような香りがする説がある,大気上層に含まれる硫化水素が、腐った卵のような刺激臭を放つようです。
宇宙,月の裏側は地球から決して見えない,月の自転周期と公転周期が同じ「同期回転」のため、常に同じ面を向けています。
科学,ダイヤモンドは炭素でできている,鉛筆の芯と同じ炭素原子が、地下深くで高圧を受けて結晶化したものです。
科学,水は摂氏4度で最も密度が高くなる,4度で一番重くなり、0度で凍ると逆に体積が増えて軽くなるため氷は浮きます。
科学,光よりも速い物質はまだ見つかっていない,アインシュタインの相対性理論において、光速は宇宙の最高速度とされます。
科学,音は真空状態では伝わらない,音を伝える媒体（空気分子など）がないため、真空中では何も聞こえません。
科学,人間の体には微量の金が含まれている,体重70kgの人で約0.2mgの金が、主に血液中などに存在します。
科学,鉄は熱するとわずかに膨張する,熱で原子の振動が激しくなり原子間の距離が広がるため、体積が増えます。
科学,ゴムの木から採れる液体がゴムの原料,樹皮を傷つけると出る白い液体「ラテックス」を加工して作られます。
科学,石鹸は油とアルカリを混ぜて作る,油脂とアルカリを反応させると石鹸になります。これを鹸化と呼びます。
科学,空気の重さは1リットル約1.2グラム,透明で軽く感じますが、空気にもちゃんと質量があります。
科学,1gの金は3kmの長さに伸ばせる,金は全金属の中で最も展延性に優れており、極限まで薄く伸ばせます。
歴史,江戸時代の日本は識字率が非常に高かった,寺子屋が普及していたため、庶民でも読み書きができる人が多くいました。
歴史,最初の切手は「ペニー・ブラック」,1840年にイギリスで発行された、ヴィクトリア女王の肖像画の切手です。
歴史,昔、お茶は薬として飲まれていた,鎌倉時代などに伝来した当初は、健康長寿の薬として珍重されていました。
歴史,エジプトのミイラには心臓も残された,死後の審判で心臓の重さを量ると信じられていたため、大切に残されました。
歴史,真田幸村は実は赤備えではなかった,初陣は黒い甲冑でした。「赤備え」で有名になったのは大坂の陣からです。
歴史,かつて貝をお金として使った地域がある,アフリカや中国などで、美しい貝殻（タカラガイ）が通貨として流通しました。
歴史,古代ローマでは公衆浴場が人気だった,「テルマエ」と呼ばれる大浴場は、市民の社交場として賑わっていました。
歴史,日本初の鉄道は新橋ー横浜間,1872年に開業し、「陸蒸気（おかじょうき）」と呼ばれて親しまれました。
歴史,織田信長は新しいものが大好きだった,鉄砲や地球儀、ワインなど、南蛮渡来の品々を積極的に取り入れました。
歴史,武士は身だしなみにとても気をつかった,いつ討ち死にしても恥ずかしくないよう、兜に香を焚き染めていました。
生活,日本の信号の「緑」を「青」と呼ぶ理由,古来、日本語では緑色も含めて「青」と表現する文化があったためです。
生活,かき氷を食べると頭が痛くなる理由,冷たい刺激を神経が痛みとして誤認する「アイスクリーム頭痛」です。
生活,日本で最初にカレーを食べたのは誰？,1871年に渡米した物理学者の山川健次郎が、船上で食べたという説があります。
生活,トランプの絵札のモデルは歴史上の人物,キングの4人はダビデ王、アレキサンダー大王、カエサル、シャルルマーニュです。
生活,マヨネーズは卵と油と酢でできている,卵黄が「乳化剤」となり、本来混ざらない油と酢を混ぜ合わせています。
生活,1円玉の重さはちょうど1グラム,1円玉は1g、50円玉は4gなど、硬貨の重さは厳密に決められています。
生活,救急車のサイレンはドップラー効果,近づく時は音が高く、遠ざかる時は音が低く聞こえる物理現象です。
生活,日本の郵便ポストは昔は黒色だった,当初は黒でしたが、夜に見えにくいため、目立つ赤色に変更されました。
生活,箸の文化はアジア特有のもの,米を食べる文化圏を中心に、中国から日本や朝鮮半島へ広がりました。
生活,醤油の原料は大豆と小麦と塩,これらに麹菌を加えて発酵させ、長い時間をかけて熟成させて作ります。
動物,ハチドリは後ろ向きに飛べる,翼を高速で動かし、空中で静止（ホバリング）したり後退したりできます。
動物,カタツムリは数年間眠り続けられる,乾燥などの悪条件が続くと、殻に膜を張って数年間も休眠可能です。
動物,犬の嗅覚は人間の数万倍,特定の匂いに関しては、人間の100万倍から1億倍もの感度を持つとされます。
動物,象の鼻には骨が一本も入っていない,約10万個もの筋肉の束でできており、器用に動かすことができます。
動物,ワニの性別は卵の時の温度で決まる,卵が置かれた場所の温度が30度以下ならメス、33度以上ならオスになります。
動物,カメレオンは舌を体より長く伸ばせる,縮めていた筋肉を一気に解放し、バネのように舌を飛ばして獲物を捕らえます。
動物,ホッキョクグマの毛は実は透明,毛の内部が空洞になっており、光を散乱させるため白く見えています。
動物,ペンギンの膝は常に曲がっている,外からは見えませんが、体の中で人間のように膝を曲げてしゃがんだ状態です。
動物,タコの血は青色をしている,人間の血液は鉄（ヘモグロビン）ですが、タコは銅（ヘモシアニン）で酸素を運ぶためです。
動物,リスは埋めた木の実の場所を忘れる,掘り出し忘れた木の実から芽が出て、森の木々を増やすのに貢献しています。
宇宙,ブラックホールの中心は重力が無限大,光さえ脱出できない「事象の地平線」の中心には、特異点が存在します。
宇宙,地球の一日は少しずつ長くなっている,潮汐力によるブレーキ効果で、100年で1000分の数秒ずつ長くなっています。
宇宙,火星には地球の倍の高さの火山がある,オリンポス山は太陽系でも最大級の火山で、裾野も非常に広大です。
宇宙,木星の「大赤斑」は巨大な嵐,地球がまるごと数個入るほどの大きさの嵐で、数百年以上消えずに続いています。
宇宙,宇宙飛行士は宇宙で背が伸びる,無重力で背骨の椎間板への圧力がなくなり、身長が数センチ伸びることがあります。
宇宙,月の砂は非常に細かく尖っている,大気がないため風化して丸くならず、尖った砂「レゴリス」が表面を覆っています。
宇宙,太陽は水素とヘリウムでできている,巨大なガスの塊で、中心部での核融合反応により莫大なエネルギーを出しています。
宇宙,金星は太陽系で最も熱い惑星,厚い二酸化炭素の大気による温室効果で、表面温度は約460℃にも達します。
宇宙,冥王星はハート型の模様がある,表面の平原に、窒素の氷でできた白く巨大なハート型の模様が確認されています。
宇宙,天の川銀河には数千億の星がある,太陽はその中のありふれた恒星の一つに過ぎず、銀河は想像を絶する広さです。
科学,人間のDNAはバナナと50%同じ,生物としての基本的な生命維持機能に関わる遺伝子が、多くの種で共通しているためです。
科学,ヘリウムは宇宙で2番目に多い元素,水素に次いで多く、宇宙の全質量の約24%を占めています。
科学,熱いお湯の方が水より早く凍る現象,「ムペンバ効果」と呼ばれますが、必ず起こるわけではなく条件によります。
科学,バナナは実はベリーの一種,植物学的な分類では、果肉の中に種が含まれるためベリー（液果）に分類されます。
科学,10円玉の原料はほとんどが銅,成分の95%が銅、残りが亜鉛と錫で構成される「青銅」です。
科学,空気の成分は窒素が約78%,生物が呼吸に使う酸素は約21%で、残りはアルゴンや二酸化炭素などです。
科学,水分子は酸素1つと水素2つ,H2Oという化学式の通り、一つの酸素原子に二つの水素原子が結合しています。
科学,金は酸にも強く錆びにくい,非常に安定した金属で、塩酸と硝酸を混ぜた「王水」以外にはほとんど溶けません。
科学,ガラスは砂（ケイ砂）から作られる,主成分は二酸化ケイ素で、砂を高温で溶かし、急冷して作られます。
科学,火は無重力だと丸い形になる,重力がないと上昇気流が起きないため、炎は球状になります。
歴史,忍者の武器「手裏剣」は牽制用,敵を倒すためというより、逃げる際の目くらましや牽制に使われました。
歴史,ピラミッドの石は1個2トン以上,平均2.5トンの石灰岩を200万個以上積み上げて作られています。
歴史,中世ヨーロッパではスパイスは超高級,冷蔵技術がない時代、肉の保存や臭み消しとして金と同等の価値がありました。
歴史,卑弥呼は鬼道で国を治めていた,「鬼道」と呼ばれる呪術や占いを用いて、国を統治していたとされます。
歴史,徳川家康は薬作りが趣味だった,健康への関心が高く、自ら薬草を調合して服用し、当時としては長生きしました。
歴史,古代ギリシャで五輪が始まった,紀元前8世紀頃、オリンピアで神ゼウスに捧げる祭典として始まりました。
歴史,かつてアメリカでは禁酒法があった,1920年から1933年まで、お酒の製造や販売が法律で禁止されていました。
歴史,日本初の新聞は幕末に誕生,1862年に発行された翻訳新聞『官板バタビヤ新聞』が最初と言われています。
歴史,クレオパトラは7か国語話せた,エジプト語の他にも多くの言語を操り、外交交渉を有利に進めた才女でした。
歴史,武田信玄はトイレが非常に広かった,トイレを「山」と呼び、書斎のように広くして作戦を練っていたそうです。
生活,日本の祝日が月曜日に多い理由,「ハッピーマンデー制度」により、連休を作って余暇を増やすため移動されました。
生活,卵の殻の色は親鳥の種類で決まる,一般的に羽が白い鶏は白い卵、茶色の鶏は赤い卵を産みます。
生活,消しゴムの成分はプラスチック,昔はゴムでしたが、現在は消しやすい塩化ビニル樹脂（プラスチック）が主流です。
生活,コンビニの24時間営業は日本から,1975年にセブンイレブンが福島県の店舗で24時間営業を始めました。
生活,サウナはフィンランド発祥,フィンランドには人口とほぼ同数のサウナがあり、生活に欠かせない文化です。
生活,信号の並び順は世界共通の部分が多い,横型信号の場合、最も重要な「赤」を右側（対向車線側）に配置します。
生活,雨の匂いの正体はペトリコール,乾燥した地面の微生物が出す油分などが、雨で空中に舞い上がった匂いです。
生活,飛行機の窓が丸いのは強度のため,四角いと角に応力が集中して亀裂が入りやすいため、丸くして力を分散させています。
生活,トイレットペーパーは水に溶ける,水洗トイレで詰まらないよう、水流で繊維がほぐれやすいように作られています。
生活,鉛筆の芯は黒鉛と粘土でできている,黒鉛が多いと濃く柔らかい芯（B）になり、粘土が多いと薄く硬い芯（H）になります。
ゲーム,マリオのフルネームはマリオ・マリオ,実写映画化の際に設定され、任天堂の公式見解でも「マリオ・マリオ」です。
ゲーム,パックマンはピザから着想を得た,開発者がピザを一切れ食べた時の形を見て、キャラクターを思いつきました。
ゲーム,初期のドンキーコングは「ポパイ」の予定,版権の都合がつかず、急遽オリジナルのキャラ「マリオ」たちに変更されました。
ゲーム,テトリスはソ連の科学者が開発,ソビエト連邦の科学者が、教育用ソフトウェアのテストとして開発しました。
ゲーム,ポケモンで最初にデザインされたのはサイドン,ピカチュウではなく、怪獣らしいデザインのサイドンが最初に描かれました。
ゲーム,スペースインベーダーで名古屋撃ちは有名,敵の攻撃が当たらない隙間を利用した攻略法で、名古屋で広まったのが由来です。
ゲーム,ドラクエの「ふっかつのじゅもん」の入力ミス,長い文字列を一字でも間違えると再開できないため、多くの子供が泣きました。
ゲーム,格闘ゲームのコンボは偶然の産物,『ストリートファイターII』のバグで通常技をキャンセルできたのが起源です。
ゲーム,バイオハザードの元ネタはスイートホーム,映画『スウィートホーム』を原作としたRPGのシステムが基礎になっています。
ゲーム,どうぶつの森は本来RPGの予定だった,ダンジョンを探索するRPGとして開発されましたが、容量不足で生活要素のみ残りました。
ゲーム,マインクラフトは一人で作り始められた,開発者のマルクス・ペルソンが、仕事の合間に趣味のプロジェクトとして開発しました。
ゲーム,スプラトゥーンの初期案は豆腐だった,インクを塗るシステムが先で、キャラクターが決まる前は四角い豆腐が戦っていました。
ゲーム,FFの名前の由来は「最後」ではない,「ファイナル」は「究極の幻想」という意味で、倒産寸前だったからというのは俗説です。
ゲーム,ストリートファイターの昇龍拳は当初出にくい,初代では判定がシビアで、よほどの達人でないと自由に出せない必殺技でした。
ゲーム,たまごっちのブームは社会現象,1996年の発売当時、白いたまごっちは数十万円で取引されるほど加熱しました。
ゲーム,ぷよぷよの「ばよえーん」の由来,元となったゲーム『魔導物語』の呪文の一つで、感動した時の感嘆詞です。
ゲーム,ゼルダの伝説のリンクは左利き,初代など多くの作品で左利きですが、Wii版など操作性の都合で右利きの作品もあります。
ゲーム,星のカービィの初期名は「ポポポ」,開発段階では「ティンクル・ポポ」というタイトルで、主人公名はポポポでした。
ゲーム,ロックマンの海外名は「メガマン」,海外では「ロック（岩）」という響きより、強そうな「メガマン」に変更されました。
ゲーム,モンハンのリオレウスの鳴き声はミキシング,ライオンやトラなど、複数の動物の鳴き声を合成してあの迫力を出しています。
ゲーム,ピクミンのモチーフはアリ,開発者の宮本茂が、庭でアリが隊列を組んで物を運ぶ様子を見て着想しました。
ゲーム,Wiiリモコンのストラップは改良版がある,熱中してテレビに投げてしまう事故が多発したため、切れにくい太い紐になりました。
ゲーム,プレイステーションは任天堂との共同開発,当初はスーパーファミコンのCD-ROM機としてソニーが開発していました。
ゲーム,ゲームボーイは頑丈で有名,湾岸戦争で空爆を受けた兵舎から見つかった本体が、正常に起動した伝説があります。
ゲーム,メタルギアの「ステルス」はハードの限界,当時の性能では多数の敵を表示できず、敵から隠れて進むゲーム性が生まれました。
ゲーム,アーケードゲームの垂直スクロール,『ゼビウス』が隠れキャラや美しい背景を導入し、ジャンルに革命を起こしました。
ゲーム,キングダムハーツはエレベーターでの出会い,ディズニーとスクウェアのオフィスが同じビルで、幹部がエレベーターで同乗した縁です。
ゲーム,アンダーテールの作者は東方が好き,『東方Project』の大ファンで、弾幕シューティング要素などに強い影響を受けています。
ゲーム,フォートナイトの建築要素は独自,元々はゾンビ（ハスク）から拠点を守る協力ゲームだった名残で、壁や階段を作れます。
ゲーム,Apexのピン機能は画期的,ボイスチャットを使わなくても、敵の位置やアイテム情報を味方に共有できるシステムです。
ゲーム,クラッシュ・バンディクーはソニーの顔,任天堂のマリオ、セガのソニックに対抗する、ソニーの看板キャラとして生まれました。
ゲーム,サクラ大戦は広井王子の夢から誕生,「太正」という架空の時代設定で、歌劇とロボットを融合させた画期的な作品です。
ゲーム,龍が如くは大人向けへの挑戦,子供向けゲームが主流の中で、リアルな繁華街と大人のドラマを描きヒットしました。
ゲーム,塊魂の操作系は二本のスティック,左右のスティックで王子を操作する独特のシステムで、直感的な転がしを実現しました。
ゲーム,ニーアオートマタは複数のエンディング,周回するごとに視点が変わり、物語の残酷な真実が明らかになる構成です。
ゲーム,モンストの「引っ張りアクション」,おはじきやピンボールの遊びをスマホに落とし込み、誰でも遊べる操作性を確立しました。
ゲーム,パズドラのドロップ移動は元々自由,開発中に「自由に動かせると簡単すぎる」ため、時間制限を設けてパズル性を高めました。
ゲーム,ウマ娘の実名使用は馬主の許可,競走馬の名前を借りるため、開発者が馬主のもとを訪れて許可を得ています。
ゲーム,原神のオープンワールドはスマホの限界,広大で美しい世界をスマホでも動くように最適化した技術力が評価されています。
ゲーム,Among Usは小規模チームの制作,わずか3人の開発チームで作られましたが、配信者を通じて世界的なブームになりました。
ゲーム,Fall Guysのキャラは身長1.8m,可愛らしい見た目に反して、設定上の身長は183cmもあると公式が発表しました。
ゲーム,ELDEN RINGはジョージ・R・R・マーティン,『ゲーム・オブ・スローンズ』の原作者が世界観の神話を執筆しています。
ゲーム,SwitchのJoy-Conは分離が最大の特徴,左右のコントローラーを外して、外出先でも二人で対戦や協力プレイが可能です。
ゲーム,Steamの誕生は自社ソフトの更新用,Valve社が自作ゲーム『Counter-Strike』などのアップデートを配信するために作りました。
ゲーム,eスポーツの賞金額は億を超える,『Dota 2』などの世界大会では、賞金総額が数十億円規模になることもあります。
ゲーム,VRゲームでの「酔い」は脳の混乱,目で見ている動きと、耳（三半規管）が感じる揺れのズレによって脳が混乱します。
ゲーム,レトロゲームのBGMは容量との戦い,同時発音数が少ない中で、作曲家たちが工夫を凝らして名曲を生み出しました。
ゲーム,隠しコマンド「上上下下左右左右BA」,『グラディウス』で有名なコナミコマンドで、世界で最も有名な隠しコマンドです。
ゲーム,TAS（タス）はツールを使った最速挑戦,エミュレータの機能を使い、理論上の最速入力を行ってゲームをクリアする遊びです。
ゲーム,RTA（リアルタイムアタック）は現実の時間,ゲーム内時間ではなく、現実の時計でどれだけ早くクリアできるかを競います。
おバカ,世界一長い地名は92文字ある,ニュージーランドの丘の名前で、現地の言葉で物語のような長い名前です。
おバカ,マヨネーズを名乗るには厳しい法律がある,卵の割合や油の種類など、JAS規格の基準を満たさないとマヨネーズと名乗れません。
おバカ,コアラはユーカリの葉しか食べないが不味い,ユーカリには毒があり栄養も少ないため、コアラは解毒のために一日中寝ています。
おバカ,昔のアイスランドではビールが禁止,1989年までビールは禁止されていました。解禁日は「ビールの日」として祝われます。
